,ISCO,careers,careers_scrap_format
288,12,export sales manager,export%20sales%20manager
289,12,marketing director,marketing%20director
290,12,marketing manager,marketing%20manager
291,12,product manager,product%20manager
292,12,sales director,sales%20director
293,12,sales manager,sales%20manager
294,12,sales supervisor,sales%20supervisor
295,12,advertising manager,advertising%20manager
296,12,director of public relations,director%20of%20public%20relations
297,12,information manager,information%20manager
298,12,media director,media%20director
299,12,publicity manager,publicity%20manager
300,12,laboratory manager,laboratory%20manager
301,53,childcarer,childcarer
302,53,childminder,childminder
303,91,housekeeper,housekeeper
304,91,nanny,nanny
305,91,attendant,attendant
306,91,bar assistant,bar%20assistant
307,91,cleaner,cleaner
308,91,washer,washer
309,91,window cleaner,window%20cleaner
