ISCO,ISCO_title,SOC,SOC_title
0110,Commissioned armed forces officers,55-1011 ,Air Crew Officers
0110,Commissioned armed forces officers,55-1012 ,Aircraft Launch and Recovery Officers
0110,Commissioned armed forces officers,55-1013 ,Armored Assault Vehicle Officers
0110,Commissioned armed forces officers,55-1014 ,Artillery and Missile Officers
0110,Commissioned armed forces officers,55-1015 ,Command and Control Center Officers
0110,Commissioned armed forces officers,55-1016 ,Infantry Officers
0110,Commissioned armed forces officers,55-1017 ,Special Forces Officers
0110,Commissioned armed forces officers,55-1019 ,Military Officer Special and Tactical Operations Leaders All Other
0210,Non-commissioned armed forces officers,55-2011 ,First-Line Supervisors of Air Crew Members
0210,Non-commissioned armed forces officers,55-2012 ,First-Line Supervisors of Weapons Specialists/Crew Members
0210,Non-commissioned armed forces officers,55-2013 ,First-Line Supervisors of All Other Tactical Operations Specialists
0310,Armed forces occupations,55-3011 ,Air Crew Members
0310,Armed forces occupations,55-3012 ,Aircraft Launch and Recovery Specialists
0310,Armed forces occupations,55-3013 ,Armored Assault Vehicle Crew Members
0310,Armed forces occupations,55-3014 ,Artillery and Missile Crew Members
0310,Armed forces occupations,55-3015 ,Command and Control Center Specialists
0310,Armed forces occupations,55-3016 ,Infantry
0310,Armed forces occupations,55-3017 ,Radar and Sonar Technicians
0310,Armed forces occupations,55-3018 ,Special Forces
0310,Armed forces occupations,55-3019 ,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members All Other
1111,Legislators,11-1031,Legislators
1112,Senior government officials,11-1011,Chief Executives
1112,Senior government officials,11-1021,General and Operations Managers
1112,Senior government officials,11-9161,Emergency Management Directors
1113,Traditional chiefs and heads of villages,11-1011,Chief Executives
1113,Traditional chiefs and heads of villages,11-1031,Legislators
1114,Senior officials of special-interest organizations,11-1021,General and Operations Managers
1114,Senior officials of special-interest organizations,11-2031,Public Relations and Fundraising Managers
1114,Senior officials of special-interest organizations,11-9199,Managers All Other
1120,Managing directors and chief executives,11-1011,Chief Executives
1120,Managing directors and chief executives,11-1021,General and Operations Managers
1211,Finance managers,11-3031,Financial Managers
1212,Human resource managers,11-3111,Compensation and Benefits Managers
1212,Human resource managers,11-3121,Human Resources Managers
1212,Human resource managers,11-3131,Training and Development Managers
1213,Policy and planning managers,11-9199,Managers All Other
1219,Business services and administration managers not elsewhere classified,11-2031,Public Relations and Fundraising Managers
1219,Business services and administration managers not elsewhere classified,11-3011,Administrative Services Managers
1219,Business services and administration managers not elsewhere classified,11-3061,Purchasing Managers
1219,Business services and administration managers not elsewhere classified,11-9061,Funeral Service Managers
1219,Business services and administration managers not elsewhere classified,11-9131,Postmasters and Mail Superintendents
1219,Business services and administration managers not elsewhere classified,11-9199,Managers All Other
1221,Sales and marketing managers,11-2021,Marketing Managers
1221,Sales and marketing managers,11-2022,Sales Managers
1222,Advertising and public relations managers,11-2011,Advertising and Promotions Managers
1222,Advertising and public relations managers,11-2031,Public Relations and Fundraising Managers
1223,Research and development managers,11-9041,Architectural and Engineering Managers
1223,Research and development managers,11-9121,Natural Sciences Managers
1311,Agricultural and forestry production managers,11-9013,Farmers Ranchers and Other Agricultural Managers
1312,Aquaculture and fisheries production managers,11-9013,Farmers Ranchers and Other Agricultural Managers
1321,Manufacturing managers,11-3051,Industrial Production Managers
1322,Mining managers,11-9199,Managers All Other
1323,Construction managers,11-9021,Construction Managers
1324,Supply distribution and related managers,11-3071,Transportation Storage and Distribution Managers
1330,Information and communications technology service managers,11-3021,Computer and Information Systems Managers
1341,Child care services managers,11-9031,Education Administrators Preschool and Childcare Center/Program
1342,Health services managers,11-9111,Medical and Health Services Managers
1343,Aged care services managers,11-1021,General and Operations Managers
1343,Aged care services managers,11-9111,Medical and Health Services Managers
1344,Social welfare managers,11-9151,Social and Community Service Managers
1345,Education managers,11-9032,Education Administrators Elementary and Secondary School
1345,Education managers,11-9033,Education Administrators Postsecondary
1345,Education managers,11-9039,Education Administrators All Other
1346,Financial and insurance services branch managers,11-1021,General and Operations Managers
1346,Financial and insurance services branch managers,11-3031,Financial Managers
1349,Professional services managers not elsewhere classified,11-9199,Managers All Other
1411,Hotel managers,11-9081,Lodging Managers
1412,Restaurant managers,11-9051,Food Service Managers
1420,Retail and wholesale trade managers,11-1021,General and Operations Managers
1431,Sports recreation and cultural centre managers,11-9071,Gaming Managers
1431,Sports recreation and cultural centre managers,11-9199,Managers All Other
1439,Services managers not elsewhere classified,11-9199,Managers All Other
211,Physical and earth science professionals,19-2099,Physical Scientists All Other
2111,Physicists and astronomers,19-2011,Astronomers
2111,Physicists and astronomers,19-2012,Physicists
2112,Meteorologists,19-2021,Atmospheric and Space Scientists
2113,Chemists,19-2031,Chemists
2113,Chemists,19-2032,Materials Scientists
2114,Geologists and geophysicists,19-2042,Geoscientists Except Hydrologists and Geographers
2114,Geologists and geophysicists,19-2043,Hydrologist
2120,Mathematicians actuaries and statisticians,15-2011,Actuaries
2120,Mathematicians actuaries and statisticians,15-2021,Mathematicians
2120,Mathematicians actuaries and statisticians,15-2031,Operations Research Analysts
2120,Mathematicians actuaries and statisticians,15-2041,Statisticians
2120,Mathematicians actuaries and statisticians,19-3022,Survey Researchers
2131,Biologists botanists zoologists and related professionals,19-1011,Animal Scientists
2131,Biologists botanists zoologists and related professionals,19-1012,Food Scientists and Technologists
2131,Biologists botanists zoologists and related professionals,19-1013,Soil and Plant Scientists
2131,Biologists botanists zoologists and related professionals,19-1021,Biochemists and Biophysicists
2131,Biologists botanists zoologists and related professionals,19-1022,Microbiologists
2131,Biologists botanists zoologists and related professionals,19-1023,Zoologists and Wildlife Biologists
2131,Biologists botanists zoologists and related professionals,19-1029,Biological Scientists All Other
2131,Biologists botanists zoologists and related professionals,19-1041,Epidemiologists
2131,Biologists botanists zoologists and related professionals,19-1042,Medical Scientists Except Epidemiologists
2131,Biologists botanists zoologists and related professionals,19-1099,Life Scientists All Other
2132,Farming forestry and fisheries advisers,19-1013,Soil and Plant Scientists
2132,Farming forestry and fisheries advisers,19-1032,Foresters
2132,Farming forestry and fisheries advisers,25-9021,Farm and Home Management Advisors
2133,Environmental protection professionals,19-1031 ,Conservation Scientists
2133,Environmental protection professionals,19-2041 ,Environmental Scientists and Specialists Including Health
2141,Industrial and production engineers,17-2112,Industrial Engineers
2142,Civil engineers,17-2051 ,Civil Engineers
2143,Environmental engineers,17-2081,Environmental Engineers
2144,Mechanical engineers,17-2011 ,Aerospace Engineers
2144,Mechanical engineers,17-2021,Agricultural Engineers
2144,Mechanical engineers,17-2121 ,Marine Engineers and Naval Architects
2144,Mechanical engineers,17-2141 ,Mechanical Engineers
2145,Chemical engineers,17-2041,Chemical Engineers
2146,Mining engineers metallurgists and related professionals,17-2131,Materials Engineers
2146,Mining engineers metallurgists and related professionals,17-2151,Mining and Geological Engineers Including Mining Safety Engineers
2146,Mining engineers metallurgists and related professionals,17-2171,Petroleum Engineers
2146,Mining engineers metallurgists and related professionals,19-2032,Materials Scientists
2149,Engineering professionals not elsewhere classified,17-2031,Biomedical Engineers
2149,Engineering professionals not elsewhere classified,17-2111 ,Health and Safety Engineers Except Mining Safety Engineers and Inspectors
2149,Engineering professionals not elsewhere classified,17-2131,Materials Engineers
2149,Engineering professionals not elsewhere classified,17-2161,Nuclear Engineers
2149,Engineering professionals not elsewhere classified,17-2199,Engineers All Other
2151,Electrical engineers,17-2071,Electrical Engineers
2152,Electronics engineers,17-2061 ,Computer Hardware Engineers
2152,Electronics engineers,17-2072 ,Electronics Engineers Except Computer
2153,Telecommunications engineers,17-2072,Electronics Engineers Except Computer
2161,Building architects,17-1011,Architects Except Landscape and Naval
2162,Landscape architects,17-1012,Landscape Architects
2163,Product and garment designers,27-1021,Commercial and Industrial Designers
2163,Product and garment designers,27-1022 ,Fashion Designers
2163,Product and garment designers,27-1029,Designers All Other
2164,Town and traffic planners,19-3051,Urban and Regional Planners
2165,Cartographers and surveyors,17-1021,Cartographers and Photogrammetrists
2165,Cartographers and surveyors,17-1022,Surveyors
2166,Graphic and multimedia designers,27-1014 ,Multimedia Artists and Animators
2166,Graphic and multimedia designers,27-1024,Graphic Designers
2211,Generalist medical practitioners ,29-1062,Family and General Practitioners
2211,Generalist medical practitioners ,29-1063 ,Internists General
2211,Generalist medical practitioners ,29-1065,Pediatricians General
2211,Generalist medical practitioners ,29-1069,Physicians and Surgeons All Other
2212,Specialist medical practitioners ,29-1061,Anesthesiologists
2212,Specialist medical practitioners ,29-1064 ,Obstetricians and Gynecologists
2212,Specialist medical practitioners ,29-1066 ,Psychiatrists
2212,Specialist medical practitioners ,29-1067 ,Surgeons
2212,Specialist medical practitioners ,29-1069,Physicians and Surgeons All Other
2221,Nursing professionals,29-1141,Registered Nurses
2221,Nursing professionals,29-1151,Nurse Anesthetists
2221,Nursing professionals,29-1171 ,Nurse Practitioners
2222,Midwifery professionals,29-1161 ,Nurse Midwives
2230,Traditional and complementary medicine professionals,29-1199 ,Health Diagnosing and Treating Practitioners All Other
2240,Paramedical practitioners,29-1071,Physician Assistants
2250,Veterinarians,29-1131,Veterinarians
2261,Dentists,29-1021,Dentists General
2261,Dentists,29-1022,Oral and Maxillofacial Surgeons
2261,Dentists,29-1023,Orthodontists
2261,Dentists,29-1024,Prosthodontists
2261,Dentists,29-1029,Dentists All Other Specialists
2262,Pharmacists,29-1051,Pharmacists
2263,Environmental and occupational health and hygiene professionals,21-1091,Health Educators 
2263,Environmental and occupational health and hygiene professionals,29-9011 ,Occupational Health and Safety Specialists
2264,Physiotherapists ,29-1123,Physical Therapists
2264,Physiotherapists ,29-1128,Exercise Physiologists
2265,Dieticians and nutritionists,29-1031,Dietitians and Nutritionists
2266,Audiologists and speech therapists,29-1127,Speech-Language Pathologists
2266,Audiologists and speech therapists,29-1181,Audiologists
2267,Optometrists and ophthalmic opticians,29-1041,Optometrists
2269,Health professionals not elsewhere classified,29-1011 ,Chiropractors
2269,Health professionals not elsewhere classified,29-1081 ,Podiatrists
2269,Health professionals not elsewhere classified,29-1122,Occupational Therapists
2269,Health professionals not elsewhere classified,29-1125 ,Recreational Therapists
2269,Health professionals not elsewhere classified,29-1129 ,Therapists All Other
2269,Health professionals not elsewhere classified,29-1199 ,Health Diagnosing and Treating Practitioners All Other
2269,Health professionals not elsewhere classified,29-9092 ,Genetic Counselors
2310,University and higher education teachers,25-1011,Business Teachers Postsecondary
2310,University and higher education teachers,25-1021,Computer Science Teachers Postsecondary
2310,University and higher education teachers,25-1022,Mathematical Science Teachers Postsecondary
2310,University and higher education teachers,25-1031,Architecture Teachers Postsecondary
2310,University and higher education teachers,25-1032,Engineering Teachers Postsecondary
2310,University and higher education teachers,25-1041,Agricultural Sciences Teachers Postsecondary
2310,University and higher education teachers,25-1042,Biological Science Teachers Postsecondary
2310,University and higher education teachers,25-1043,Forestry and Conservation Science Teachers Postsecondary
2310,University and higher education teachers,25-1051,Atmospheric Earth Marine and Space Sciences Teachers Postsecondary
2310,University and higher education teachers,25-1052,Chemistry Teachers Postsecondary
2310,University and higher education teachers,25-1053,Environmental Science Teachers Postsecondary
2310,University and higher education teachers,25-1054,Physics Teachers Postsecondary
2310,University and higher education teachers,25-1061,Anthropology and Archeology Teachers Postsecondary
2310,University and higher education teachers,25-1062,Area Ethnic and Cultural Studies Teachers Postsecondary
2310,University and higher education teachers,25-1063,Economics Teachers Postsecondary
2310,University and higher education teachers,25-1064,Geography Teachers Postsecondary
2310,University and higher education teachers,25-1065,Political Science Teachers Postsecondary
2310,University and higher education teachers,25-1066,Psychology Teachers Postsecondary
2310,University and higher education teachers,25-1067,Sociology Teachers Postsecondary
2310,University and higher education teachers,25-1069,Social Sciences Teachers Postsecondary All Other
2310,University and higher education teachers,25-1071,Health Specialties Teachers Postsecondary
2310,University and higher education teachers,25-1072,Nursing Instructors and Teachers Postsecondary
2310,University and higher education teachers,25-1081,Education Teachers Postsecondary
2310,University and higher education teachers,25-1082,Library Science Teachers Postsecondary
2310,University and higher education teachers,25-1111,Criminal Justice and Law Enforcement Teachers Postsecondary
2310,University and higher education teachers,25-1112,Law Teachers Postsecondary
2310,University and higher education teachers,25-1113,Social Work Teachers Postsecondary
2310,University and higher education teachers,25-1121,Art Drama and Music Teachers Postsecondary
2310,University and higher education teachers,25-1122,Communications Teachers Postsecondary
2310,University and higher education teachers,25-1123,English Language and Literature Teachers Postsecondary
2310,University and higher education teachers,25-1124,Foreign Language and Literature Teachers Postsecondary
2310,University and higher education teachers,25-1125,History Teachers Postsecondary
2310,University and higher education teachers,25-1126,Philosophy and Religion Teachers Postsecondary
2310,University and higher education teachers,25-1191,Graduate Teaching Assistants
2310,University and higher education teachers,25-1192,Home Economics Teachers Postsecondary
2310,University and higher education teachers,25-1193,Recreation and Fitness Studies Teachers Postsecondary
2310,University and higher education teachers,25-1199,Postsecondary Teachers All Other
2320,Vocational education teachers,25-1194,Vocational Education Teachers Postsecondary
2320,Vocational education teachers,25-2023 ,Career/Technical Education Teachers Middle School
2320,Vocational education teachers,25-2032,Career/Technical Education Teachers Secondary School
2330,Secondary education teachers,25-2031,Secondary School Teachers Except Special and Career/Technical Education
2341,Primary school teachers,25-2021,Elementary School Teachers Except Special Education
2341,Primary school teachers,25-2022,Middle School Teachers Except Special and Career/Technical Education
2342,Early childhood educators,25-2011,Preschool Teachers Except Special Education
2342,Early childhood educators,25-2012,Kindergarten Teachers Except Special Education
2351,Education methods specialists,25-9031,Instructional Coordinators
2352,Special needs teachers,25-2051,Special Education Teachers Preschool
2352,Special needs teachers,25-2052,Special Education Teachers Kindergarten and Elementary School
2352,Special needs teachers,25-2053,Special Education Teachers Middle School
2352,Special needs teachers,25-2054,Special Education Teachers Secondary School
2352,Special needs teachers,25-2059 ,Special Education Teachers All Other
2353,Other language teachers,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors 
2353,Other language teachers,25-3021,Self-Enrichment Education Teachers
2353,Other language teachers,25-3099 ,Teachers and Instructors All Other
2354,Other music teachers,25-3021,Self-Enrichment Education Teachers
2355,Other arts teachers,25-3021,Self-Enrichment Education Teachers
2355,Other arts teachers,25-3099 ,Teachers and Instructors All Other
2356,Information technology trainers,13-1151 ,Training and Development Specialists
2359,Teaching professionals not elsewhere classified,21-1012 ,Educational Guidance School and Vocational Counselors
2359,Teaching professionals not elsewhere classified,25-3099,Teachers and Instructors All Other
2359,Teaching professionals not elsewhere classified,25-9099,Education Training and Library Workers All Other
2411,Accountants,13-2011,Accountants and Auditors
2411,Accountants,13-2031,Budget Analysts
2411,Accountants,13-2082,Tax Preparers
2412,Financial and investment advisers,13-2051,Financial Analysts
2412,Financial and investment advisers,13-2052,Personal Financial Advisors
2413,Financial analysts,13-2041,Credit Analysts
2413,Financial analysts,13-2051 ,Financial Analysts
2413,Financial analysts,13-2061,Financial Examiners
2421,Management and organization analysts,13-1081,Logisticians
2421,Management and organization analysts,13-1111,Management Analysts
2422,Policy administration professionals,13-1199,Business Operations Specialists All Other
2423,Personnel and careers professionals,13-1071,Human Resources Specialists
2423,Personnel and careers professionals,13-1075 ,Labor Relations Specialists
2423,Personnel and careers professionals,13-1141,Compensation Benefits and Job Analysis Specialists
2423,Personnel and careers professionals,21-1012 ,Educational Guidance School and Vocational Counselors
2424,Training and staff development professionals,13-1151 ,Training and Development Specialists
2431,Advertising and marketing professionals,13-1161,Market Research Analysts and Marketing Specialists
2431,Advertising and marketing professionals,27-3043 ,Writers and Authors
2432,Public relations professionals,27-3031 ,Public Relations Specialists
2433,Technical and medical sales professionals (excluding ICT),41-1012,First-Line Supervisors of Non-Retail Sales Workers
2433,Technical and medical sales professionals (excluding ICT),41-4011,Sales Representatives Wholesale and Manufacturing Technical and Scientific Products
2434,Information and communications technology sales professionals,41-1012,First-Line Supervisors of Non-Retail Sales Workers
2434,Information and communications technology sales professionals,41-4011,Sales Representatives Wholesale and Manufacturing Technical and Scientific Products
2434,Information and communications technology sales professionals,41-9031,Sales Engineers
2511,Systems analysts,15-1111,Computer and Information Research Scientists
2511,Systems analysts,15-1121,Computer Systems Analysts
2512,Software developers,15-1132,Software Developers Applications
2512,Software developers,15-1133,Software Developers Systems Software
2513,Web and multimedia developers,15-1134 ,Web Developers
2514,Applications programmers,15-1131,Computer Programmers
2519,Software and applications developers and analysts not elsewhere classified,15-1199,Computer Occupations All Other
2521,Database designers and administrators,15-1141,Database Administrators
2522,Systems administrators,15-1142,Network and Computer Systems Administrators
2523,Computer network professionals,15-1143 ,Computer Network Architects
2529,Database and network professionals not elsewhere classified,15-1122,Information Security Analysts
2529,Database and network professionals not elsewhere classified,15-1199,Computer Occupations All Other
2611,Lawyers,23-1011,Lawyers
2612,Judges,23-1021,Administrative Law Judges Adjudicators and Hearing Officers
2612,Judges,23-1023,Judges Magistrate Judges and Magistrates
2619,Legal professionals not elsewhere classified,23-1022,Arbitrators Mediators and Conciliators
2621,Archivists and curators,25-4011,Archivists
2621,Archivists and curators,25-4012,Curators
2622,Librarians and related information professionals,25-4021,Librarians
2622,Librarians and related information professionals,25-9011,Audio-Visual and Multimedia Collections Specialists
2631,Economists,19-3011,Economists
2632,Sociologists anthropologists and related professionals,19-3041,Sociologists
2632,Sociologists anthropologists and related professionals,19-3091,Anthropologists and Archeologists
2632,Sociologists anthropologists and related professionals,19-3092,Geographers
2633,Philosophers historians and political scientists,19-3093,Historians
2633,Philosophers historians and political scientists,19-3094,Political Scientists
2633,Philosophers historians and political scientists,19-3099,Social Scientists and Related Workers All Other
2634,Psychologists,19-3031,Clinical Counseling and School Psychologists
2634,Psychologists,19-3032,Industrial-Organizational Psychologists
2634,Psychologists,19-3039,Psychologists All Other
2635,Social work and counselling professionals,21-1011 ,Substance Abuse and Behavioral Disorder Counselors
2635,Social work and counselling professionals,21-1013 ,Marriage and Family Therapists
2635,Social work and counselling professionals,21-1014 ,Mental Health Counselors
2635,Social work and counselling professionals,21-1015 ,Rehabilitation Counselors
2635,Social work and counselling professionals,21-1019,Counselors All Other
2635,Social work and counselling professionals,21-1021,Child Family and School Social Workers
2635,Social work and counselling professionals,21-1022,Healthcare Social Workers
2635,Social work and counselling professionals,21-1023,Mental Health and Substance Abuse Social Workers
2635,Social work and counselling professionals,21-1029,Social Workers All Other
2635,Social work and counselling professionals,21-1092,Probation Officers and Correctional Treatment Specialists
2635,Social work and counselling professionals,21-1099,Community and Social Service Specialists All Other
2636,Religious professionals,21-2011,Clergy
2636,Religious professionals,21-2021 ,Directors Religious Activities and Education
2641,Authors and related writers,27-3041 ,Editors
2641,Authors and related writers,27-3042,Technical Writers
2641,Authors and related writers,27-3043,Writers and Authors
2642,Journalists,27-3022,Reporters and Correspondents
2642,Journalists,27-3041 ,Editors
2643,Translators interpreters and other linguists,19-3099 ,Social Scientists and Related Workers All Other
2643,Translators interpreters and other linguists,27-3091,Interpreters and Translators
2651,Visual artists,27-1012,Craft Artists
2651,Visual artists,27-1013,Fine Artists Including Painters Sculptors and Illustrators
2652,Musicians singers and composers,27-2041,Music Directors and Composers
2652,Musicians singers and composers,27-2042,Musicians and Singers
2653,Dancers and choreographers,27-2031,Dancers
2653,Dancers and choreographers,27-2032,Choreographers
2654,Film stage and related directors and producers,27-1011,Art Directors
2654,Film stage and related directors and producers,27-2012 ,Producers and Directors
2654,Film stage and related directors and producers,27-4032 ,Film and Video Editors
2655,Actors,27-2011,Actors
2656,Announcers on radio television and other media,27-3011,Radio and Television Announcers
2656,Announcers on radio television and other media,27-3012,Public Address System and Other Announcers
2656,Announcers on radio television and other media,27-3021,Broadcast News Analysts
2659,Creative and performing artists not elsewhere classified,27-2099,Entertainers and Performers Sports and Related Workers All Other
3111,Chemical and physical science technicians,19-4031,Chemical Technicians
3111,Chemical and physical science technicians,19-4041,Geological and Petroleum Technicians
3111,Chemical and physical science technicians,19-4099,Life Physical and Social Science Technicians All Other
3112,Civil engineering technicians,17-3022,Civil Engineering Technicians
3112,Civil engineering technicians,17-3031 ,Surveying and Mapping Technicians
3112,Civil engineering technicians,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers
3112,Civil engineering technicians,33-2021,Fire Inspectors and Investigators
3112,Civil engineering technicians,47-4011,Construction and Building Inspectors
3113,Electrical engineering technicians,17-3023,Electrical and Electronics Engineering Technicians
3113,Electrical engineering technicians,17-3024,Electro-Mechanical Technicians
3114,Electronics engineering technicians,17-3023,Electrical and Electronics Engineering Technicians
3115,Mechanical engineering technicians,17-3021,Aerospace Engineering and Operations Technicians
3115,Mechanical engineering technicians,17-3024,Electro-Mechanical Technicians
3115,Mechanical engineering technicians,17-3027,Mechanical Engineering Technicians
3115,Mechanical engineering technicians,17-3029,Engineering Technicians Except Drafters All Other
3116,Chemical engineering technicians,17-3029,Engineering Technicians Except Drafters All Other
3117,Mining and metallurgical technicians,17-3029,Engineering Technicians Except Drafters All Other
3117,Mining and metallurgical technicians,19-4041,Geological and Petroleum Technicians
3118,Draughtspersons,17-3011,Architectural and Civil Drafters
3118,Draughtspersons,17-3012,Electrical and Electronics Drafters
3118,Draughtspersons,17-3013,Mechanical Drafters
3118,Draughtspersons,17-3019,Drafters All Other
3118,Draughtspersons,27-1013 ,Fine Artists Including Painters Sculptors and Illustrators
3119,Physical and engineering science technicians not elsewhere classified,17-3025,Environmental Engineering Technicians
3119,Physical and engineering science technicians not elsewhere classified,17-3026,Industrial Engineering Technicians
3119,Physical and engineering science technicians not elsewhere classified,17-3029,Engineering Technicians Except Drafters All Other
3119,Physical and engineering science technicians not elsewhere classified,19-4051,Nuclear Technicians
3119,Physical and engineering science technicians not elsewhere classified,19-4092 ,Forensic Science Technicians
3119,Physical and engineering science technicians not elsewhere classified,19-4099,Life Physical and Social Science Technicians All Other
3119,Physical and engineering science technicians not elsewhere classified,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers
3119,Physical and engineering science technicians not elsewhere classified,33-2021,Fire Inspectors and Investigators
3119,Physical and engineering science technicians not elsewhere classified,33-2022,Forest Fire Inspectors and Prevention Specialists
3119,Physical and engineering science technicians not elsewhere classified,53-6041,Traffic Technicians
3121,Mining supervisors,47-1011 ,First-Line Supervisors of Construction Trades and Extraction Workers
3122,Manufacturing supervisors,51-1011 ,First-Line Supervisors of Production and Operating Workers
3123,Construction supervisors,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers
3131,Power production plant operators,51-1011 ,First-Line Supervisors of Production and Operating Workers
3131,Power production plant operators,51-8011,Nuclear Power Reactor Operators
3131,Power production plant operators,51-8012,Power Distributors and Dispatchers
3131,Power production plant operators,51-8013,Power Plant Operators
3132,Incinerator and water treatment plant operators,51-1011 ,First-Line Supervisors of Production and Operating Workers
3132,Incinerator and water treatment plant operators,51-8031,Water and Wastewater Treatment Plant and System Operators
3132,Incinerator and water treatment plant operators,51-8099,Plant and System Operators All Other
3132,Incinerator and water treatment plant operators,53-7072,Pump Operators Except Wellhead Pumpers
3133,Chemical processing plant controllers,51-8091,Chemical Plant and System Operators
3134,Petroleum and natural gas refining plant operators,51-8092 ,Gas Plant Operators
3134,Petroleum and natural gas refining plant operators,51-8093,Petroleum Pump System Operators Refinery Operators and Gaugers
3134,Petroleum and natural gas refining plant operators,53-7071,Gas Compressor and Gas Pumping Station Operators
3134,Petroleum and natural gas refining plant operators,53-7072,Pump Operators Except Wellhead Pumpers
3135,Metal production process controllers,51-4051,Metal-Refining Furnace Operators and Tenders
3139,Process control technicians not elsewhere classified,51-4012,Computer Numerically Controlled Machine Tool Programmers Metal and Plastic
3141,Life science technicians (excluding medical),19-4021 ,Biological Technicians
3141,Life science technicians (excluding medical),19-4091,Environmental Science and Protection Technicians Including Health
3142,Agricultural technicians,19-4011,Agricultural and Food Science Technicians
3143,Forestry technicians,19-4093,Forest and Conservation Technicians
315,Ship and aircraft controllers and technicians,53-2022,Airfield Operations Specialists
3151,Ships' engineers,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
3151,Ships' engineers,53-5031,Ship Engineers
3152,Ships' deck officers and pilots,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
3152,Ships' deck officers and pilots,53-5021,Captains Mates and Pilots of Water Vessels
3153,Aircraft pilots and related associate professionals,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
3153,Aircraft pilots and related associate professionals,53-2011,Airline Pilots Copilots and Flight Engineers
3153,Aircraft pilots and related associate professionals,53-2012,Commercial Pilots
3154,Air traffic controllers,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
3154,Air traffic controllers,53-2021,Air Traffic Controllers
3155,Air traffic safety electronics technicians,17-3023,Electrical and Electronics Engineering Technicians
3211,Medical imaging and therapeutic equipment technicians,29-1124,Radiation Therapists
3211,Medical imaging and therapeutic equipment technicians,29-2032,Diagnostic Medical Sonographers
3211,Medical imaging and therapeutic equipment technicians,29-2033,Nuclear Medicine Technologists
3211,Medical imaging and therapeutic equipment technicians,29-2034,Radiologic Technologists 
3211,Medical imaging and therapeutic equipment technicians,29-2035 ,Magnetic Resonance Imaging Technologists
3212,Medical and pathology laboratory technicians ,29-2011,Medical and Clinical Laboratory Technologists
3212,Medical and pathology laboratory technicians ,29-2012,Medical and Clinical Laboratory Technicians
3213,Pharmaceutical technicians and assistants,29-2052,Pharmacy Technicians
3214,Medical and dental prosthetic technicians,29-2091 ,Orthotists and Prosthetists
3214,Medical and dental prosthetic technicians,29-2092 ,Hearing Aid Specialists
3214,Medical and dental prosthetic technicians,51-9081 ,Dental Laboratory Technicians
3214,Medical and dental prosthetic technicians,51-9082 ,Medical Appliance Technicians
3221,Nursing associate professionals,29-2061,Licensed Practical and Licensed Vocational Nurses
3222,Midwifery associate professionals,29-9099,Healthcare Practitioners and Technical Workers All Other
3230,Traditional and complementary medicine associate professionals,29-9099,Healthcare Practitioners and Technical Workers All Other
3240,Veterinary technicians and assistants,29-2056,Veterinary Technologists and Technicians
3240,Veterinary technicians and assistants,31-9096,Veterinary Assistants and Laboratory Animal Caretakers
3251,Dental assistants and therapists,29-2021,Dental Hygienists
3251,Dental assistants and therapists,31-9091,Dental Assistants
3252,Medical records and health information technicians,29-2071 ,Medical Records and Health Information Technicians
3253,Community health workers,21-1094 ,Community Health Workers
3254,Dispensing opticians,29-2081,Opticians Dispensing
3255,Physiotherapy technicians and assistants,29-1199 ,Health Diagnosing and Treating Practitioners All Other
3255,Physiotherapy technicians and assistants,31-2021,Physical Therapist Assistants
3255,Physiotherapy technicians and assistants,31-9011 ,Massage Therapists
3256,Medical assistants,29-2057,Ophthalmic Medical Technicians
3256,Medical assistants,31-9092,Medical Assistants
3257,Environmental and occupational health inspectors and associates,29-9012,Occupational Health and Safety Technicians
3257,Environmental and occupational health inspectors and associates,45-2011 ,Agricultural Inspectors
3257,Environmental and occupational health inspectors and associates,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
3257,Environmental and occupational health inspectors and associates,53-6051,Transportation Inspectors
3258,Ambulance workers,29-2041 ,Emergency Medical Technicians and Paramedics
3259,Health associate professionals not elsewhere classified,29-1126 ,Respiratory Therapists
3259,Health associate professionals not elsewhere classified,29-2031,Cardiovascular Technologists and Technicians
3259,Health associate professionals not elsewhere classified,29-2051,Dietetic Technicians
3259,Health associate professionals not elsewhere classified,29-2053,Psychiatric Technicians
3259,Health associate professionals not elsewhere classified,29-2054,Respiratory Therapy Technicians
3259,Health associate professionals not elsewhere classified,29-2055,Surgical Technologists
3259,Health associate professionals not elsewhere classified,29-2099,Health Technologists and Technicians All Other
3259,Health associate professionals not elsewhere classified,29-9099,Healthcare Practitioners and Technical Workers All Other
3259,Health associate professionals not elsewhere classified,31-2011,Occupational Therapy Assistants
3259,Health associate professionals not elsewhere classified,31-9099,Healthcare Support Workers All Other
